dmrl_id,dmc,title,type,status,priority,responsible_org,assigned_author,due_date,created_date,modified_date,tektok_ref,notes
DMRL-0001,DMC-AQUA-A-00-00-00-00-000A-040A-A,Introducción al Sistema S1000D,DES,required,high,AQUA,system,2025-02-15,2025-01-16,2025-01-16,,Documento introductorio del sistema
DMRL-0002,DMC-AQUA-A-56-10-20-00-000A-040A-A,Descripción Sistema Propulsión,DES,in-progress,critical,AQUA,propulsion-team,2025-02-01,2025-01-16,2025-01-16,TEKTOK-ATA-56-propulsion-desc-0001,Sistema de propulsión principal
DMRL-0003,DMC-AQUA-A-56-10-20-00-001A-040A-A,Procedimiento Arranque Motor,PRC,required,high,AQUA,maintenance-team,2025-02-10,2025-01-16,2025-01-16,,Procedimientos de arranque y parada
DMRL-0004,DMC-AQUA-A-56-10-20-00-002A-040A-A,Diagnóstico Fallos Propulsión,FSC,required,medium,AQUA,diagnostics-team,2025-02-20,2025-01-16,2025-01-16,,Guía de diagnóstico y solución de problemas
DMRL-0005,DMC-AQUA-A-32-20-10-00-000A-040A-A,Descripción Tren de Aterrizaje,DES,complete,high,AQUA,landing-gear-team,2025-01-30,2025-01-10,2025-01-15,,Sistema de tren de aterrizaje principal
DMRL-0006,DMC-AQUA-A-32-20-10-00-001A-040A-A,Procedimiento Extensión Tren,PRC,in-progress,high,AQUA,operations-team,2025-02-05,2025-01-12,2025-01-16,,Procedimientos de operación del tren
DMRL-0007,DMC-AQUA-A-71-10-00-00-000A-040A-A,Descripción Sistema Motores,DES,required,critical,AQUA,engine-team,2025-01-25,2025-01-16,2025-01-16,TEKTOK-ATA-71-engine-system-0001,Motores principales de la aeronave
DMRL-0008,DMC-AQUA-A-28-10-00-00-000A-040A-A,Descripción Sistema Combustible,DES,required,critical,AQUA,fuel-systems,2025-02-08,2025-01-16,2025-01-16,,Sistema de combustible y distribución
DMRL-0009,DMC-AQUA-A-24-10-00-00-000A-040A-A,Descripción Sistema Eléctrico,DES,in-progress,high,AQUA,electrical-team,2025-02-12,2025-01-14,2025-01-16,TEKTOK-ATA-24-electrical-power-0001,Sistema eléctrico principal
DMRL-0010,DMC-AQUA-A-27-10-00-00-000A-040A-A,Descripción Controles de Vuelo,DES,required,critical,AQUA,flight-controls,2025-01-28,2025-01-16,2025-01-16,,Sistemas de control de vuelo primarios
